Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
1819,2011,8,8,7,8,8,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,"Single, Never Married",NA,African-American,NA,NA,NA,NA,NA,18+,R,NA,NA,NA,NA
1820,2011,6,6,9,4,9,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,R,NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
1821,2011,8,8,8,6,9,NA,NA,NA,2,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1822,2011,9,9,8,6,7,NA,NA,NA,3,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Married,NA,R,NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1823,2011,2,3,7,3,1,NA,NA,NA,2,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"30,000 - $39,999",NA,NA,NA,NA
1824,2011,8,8,6,7,8,NA,NA,NA,3,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1825,2011,8,8,7,7,6,NA,NA,NA,3,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"80,000 - $89,999",NA,NA,NA,NA
1826,2011,9,9,8,7,7,NA,NA,NA,2,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"60,000 - $69,999",NA,NA,NA,NA
1827,2011,6,6,6,1,8,NA,NA,NA,1,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1828,2011,8,8,8,8,3,NA,NA,NA,2,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1829,2011,3,2,7,3,7,NA,NA,NA,3,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
1830,2011,8,8,9,7,2,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1831,2011,8,7,8,R,8,NA,NA,NA,4,NA,R,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"50,000 - $59,999",NA,NA,NA,NA
1832,2011,7,7,9,5,5,NA,NA,NA,4,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1833,2011,8,8,7,6,6,NA,NA,NA,2,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
1834,2011,8,8,8,8,7,NA,NA,NA,3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1835,2011,8,7,9,5,7,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
1836,2011,8,8,1,5,8,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1837,2011,7,5,8,R,7,NA,NA,NA,3,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"20,000 - $29,999",NA,NA,NA,NA
1838,2011,4,3,R,8,3,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
1839,2011,10,10,9,8,8,NA,NA,NA,4,NA,5,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
1840,2011,8,8,8,8,6,NA,NA,NA,3,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1841,2011,7,8,6,8,4,NA,NA,NA,4,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1842,2011,7,7,3,7,7,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
1843,2011,5,5,7,3,8,NA,NA,NA,1,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
1844,2011,7,5,7,8,10,NA,NA,NA,3,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,R,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"30,000 - $39,999",NA,NA,NA,NA
1845,2011,10,10,9,9,9,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1846,2011,9,10,7,7,3,NA,NA,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
1847,2011,6,7,8,2,7,NA,NA,NA,2,NA,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1848,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1849,2011,9,10,6,10,7,NA,NA,NA,2,NA,4,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
1850,2011,810,10,8,7,4,NA,NA,NA,3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Divorced,NA,African-American,NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
1851,2011,10,10,8,6,6,NA,NA,NA,1,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1852,2011,9,10,5,6,10,NA,NA,NA,1,NA,3,NA,1,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1853,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
1854,2011,6,8,8,7,5,NA,NA,NA,3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,African-American,NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
1855,2011,8,8,8,9,6,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
1856,2011,8,7,9,8,3,NA,NA,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1857,2011,8,7,8,7,3,NA,NA,NA,2,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,6-11 Years,"80,000 - $89,999",NA,NA,NA,NA
1858,2011,3,8,8,7,6,NA,NA,NA,3,NA,4,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
1859,2011,7,6,6,3,3,NA,NA,NA,2,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1860,2011,10,10,9,7,7,NA,NA,NA,3,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"80,000 - $89,999",NA,NA,NA,NA
1861,2011,10,10,10,8,8,NA,NA,NA,2,NA,R,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"70,000 - $79,999",NA,NA,NA,NA
1862,2011,5,4,7,8,9,NA,NA,NA,3,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Married,NA,R,NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
1863,2011,7,8,8,9,9,NA,NA,NA,1,NA,R,NA,3.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
1864,2011,8,9,8,8,9,NA,NA,NA,R,NA,R,NA,R,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"10,000 - $19,999",NA,NA,NA,NA
1865,2011,8,8,8,7,5,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1866,2011,8,7,7,6,5,NA,NA,NA,3,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"70,000 - $79,999",NA,NA,NA,NA
1867,2011,7,7,6,6,7,NA,NA,NA,2,NA,R,NA,2.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
1868,2011,8,9,8,3,2,NA,NA,NA,3,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"100,000 and up",NA,NA,NA,NA
1869,2011,8,8,8,8,3,NA,NA,NA,1,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1870,2011,6,6,6,4,6,NA,NA,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
1871,2011,4,8,6,8,5,NA,NA,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1872,2011,R,R,7,R,R,NA,NA,NA,R,NA,R,NA,R,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,R,NA,NA,NA,NA,NA,18+,R,NA,NA,NA,NA
1873,2011,8,8,8,1,10,NA,NA,NA,3,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
1874,2011,3,4,5,3,8,NA,NA,NA,5,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1875,2011,3,4,5,4,5,NA,NA,NA,1,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
1876,2011,6,10,6,8,6,NA,NA,NA,R,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,African-American,NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1877,2011,8,9,9,4,R,NA,NA,NA,3,NA,4,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1878,2011,10,10,8,10,10,NA,NA,NA,1,NA,2,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,R,NA,NA,NA,NA
1879,2011,8,8,9,6,8,NA,NA,NA,2,NA,R,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1880,2011,5,6,2,8,9,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
1881,2011,8,8,6,7,3,NA,NA,NA,3,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1882,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,"Single, Never Married",NA,Native American,NA,NA,NA,NA,NA,18+,R,NA,NA,NA,NA
1883,2011,8,8,6,6,7,NA,NA,NA,2,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1884,2011,7,9,2,7,7,NA,NA,NA,4,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1885,2011,7,7,8,8,7,NA,NA,NA,3,NA,F,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,18-21,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
1886,2011,7,10,8,8,6,NA,NA,NA,3,NA,R,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"Less than $10,000",NA,NA,NA,NA
1887,2011,7,6,8,5,7,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1888,2011,8,8,6,7,5,NA,NA,NA,4,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1889,2011,8,8,9,7,4,NA,NA,NA,2,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
1890,2011,8,9,8,3,7,NA,NA,NA,4,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"80,000 - $89,999",NA,NA,NA,NA
1891,2011,6,6,6,4,6,NA,NA,NA,4,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1892,2011,6,7,4,6,7,NA,NA,NA,1,NA,3,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
1893,2011,6,6,7,6,8,NA,NA,NA,1,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"90,000 - $99,999",NA,NA,NA,NA
1894,2011,9,9,9,7,8,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1895,2011,5,7,8,1,7,NA,NA,NA,1,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,Hispanic,NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1896,2011,9,6,8,6,6,NA,NA,NA,4,NA,3,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
1897,2011,8,7,7,8,9,NA,NA,NA,R,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
1898,2011,7,9,9,9,6,NA,NA,NA,3,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
1899,2011,9,9,9,6,6,NA,NA,NA,4,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1900,2011,9,9,8,6,6,NA,NA,NA,3,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"10,000 - $19,999",NA,NA,NA,NA
1901,2011,8,7,7,6,8,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1902,2011,5,5,5,6,6,NA,NA,NA,3,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
1903,2011,9,9,8,8,5,NA,NA,NA,4,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
1904,2011,R,R,8,R,R,NA,NA,NA,2,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"10,000 - $19,999",NA,NA,NA,NA
1905,2011,8,8,5,9,3,NA,NA,NA,3,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
1906,2011,10,10,10,10,10,NA,NA,NA,R,NA,5,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1907,2011,5,5,2,5,5,NA,NA,NA,R,NA,R,NA,2,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1908,2011,8,9,9,9,9,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
1909,2011,8,9,8,8,8,NA,NA,NA,4,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
1910,2011,6,6,8,6,6,NA,NA,NA,R,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"100,000 and up",NA,NA,NA,NA
